candidate_id,rank,score,reasoning
CAND_000299,1,0.41807965593092816,"Strong Senior ML Engineer background. 5.0 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000082,2,0.41050564769621156,"Strong Senior ML Engineer background. 8.4 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000809,3,0.4087366880768651,"Strong ML Platform Engineer background. 8.7 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000802,4,0.40866431253681906,"Strong AI Research Engineer background. 9.1 years experience — senior-level depth. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001838,5,0.4078483093181124,"Strong AI Research Engineer background. 6.4 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000263,6,0.40645358593213066,"Strong Deep Learning Engineer background. 7.9 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000745,7,0.4053989233098963,"Strong Senior ML Engineer background. 4.1 years experience — approaching target range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001689,8,0.40231554882362114,"Strong Machine Learning Engineer background. 5.8 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001606,9,0.3996179233209179,"Strong Senior ML Engineer background. 4.2 years experience — approaching target range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001243,10,0.39643923477206716,"Strong Senior ML Engineer background. 6.2 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001898,11,0.3952759037843733,"Strong ML Platform Engineer background. 7.3 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000549,12,0.3935603162463786,"Strong ML Platform Engineer background. 9.9 years experience — senior-level depth. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000787,13,0.3917046166788445,"Strong Machine Learning Engineer background. 4.3 years experience — approaching target range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000821,14,0.38885173144842444,"Strong Machine Learning Engineer background. 4.2 years experience — approaching target range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000629,15,0.3869313120944699,"Strong Senior Data Scientist background. 5.5 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Moderate engagement signals suggest availability. Concern: Profile sections show inconsistency."
CAND_001046,16,0.3868706123087182,"Strong Machine Learning Engineer background. 5.9 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_000680,17,0.38604389819167356,"Strong Senior AI Engineer background. 6.1 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001311,18,0.3834552235572294,"Strong Senior ML Engineer background. 9.4 years experience — senior-level depth. Skills spanning ML/DL frameworks, NLP and language models, and MLOps and deployment. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001694,19,0.3818883411523681,"Strong Machine Learning Engineer background. 7.0 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
CAND_001849,20,0.3786659021159527,"Strong Senior ML Engineer background. 5.7 years experience — within ideal range. Skills spanning ML/DL frameworks, NLP and language models, and data engineering. Recent activity and strong engagement signals indicate high availability. Concern: Profile sections show inconsistency."
