candidate_id,headline,summary,current_title,skills,career_history,education,location,years_of_experience,behavioral_signals,salary_min,salary_max
CAND_000000,Backend Engineer | Indus Cloud,"10.2 years of experience in data science. Skilled in tensorflow, model deployment, retrieval systems.",Backend Engineer,"[{""name"": ""tensorflow"", ""endorsements"": 2, ""duration_months"": 16, ""proficiency"": ""intermediate""}, {""name"": ""model deployment"", ""endorsements"": 16, ""duration_months"": 41, ""proficiency"": ""beginner""}, {""name"": ""retrieval systems"", ""endorsements"": 17, ""duration_months"": 15, ""proficiency"": ""expert""}]","[{""title"": ""Backend Engineer"", ""company"": ""Helix AI"", ""start_date"": ""2022-01-01"", ""end_date"": """", ""duration_months"": 24, ""is_current"": true, ""description"": ""Contributed to internal tooling and APIs.""}, {""title"": ""Data Engineer"", ""company"": ""Acme AI"", ""start_date"": ""2019-01-01"", ""end_date"": ""2021-12-31"", ""duration_months"": 24, ""is_current"": false, ""description"": ""Led a team delivering NLP-based search features.""}, {""title"": ""DevOps Engineer"", ""company"": ""Crestline Data"", ""start_date"": ""2016-01-01"", ""end_date"": ""2018-12-31"", ""duration_months"": 24, ""is_current"": false, ""description"": ""Owned end-to-end deployment of recommendation models.""}, {""title"": ""Data Engineer"", ""company"": ""Quanta Systems"", ""start_date"": ""2013-01-01"", ""end_date"": ""2015-12-31"", ""duration_months"": 25, ""is_current"": false, ""description"": ""Led a team delivering NLP-based search features.""}, {""title"": ""Data Engineer"", ""company"": ""Nimbus Labs"", ""start_date"": ""2010-01-01"", ""end_date"": ""2012-12-31"", ""duration_months"": 25, ""is_current"": false, ""description"": ""Built and shipped production ML pipelines.""}]","[{""degree"": ""M.S."", ""field_of_study"": ""Computer Science"", ""institution"": ""NIT Trichy"", ""year"": 2019}]",Mumbai,10.2,"{""last_active_date"": ""2026-04-01"", ""recruiter_response_rate"": 0.54, ""avg_response_time_hours"": 59.0, ""interview_completion_rate"": 0.56, ""offer_acceptance_rate"": 0.59, ""verified_email"": true, ""verified_phone"": false, ""linkedin_connected"": false}",1781000.0,2545000.0
CAND_000001,Senior Data Scientist | Nimbus Labs,"7.5 years of experience in data science. Skilled in kubernetes, natural language processing, pytorch, embeddings.",Senior Data Scientist,"[{""name"": ""kubernetes"", ""endorsements"": 17, ""duration_months"": 49, ""proficiency"": ""intermediate""}, {""name"": ""natural language processing"", ""endorsements"": 5, ""duration_months"": 32, ""proficiency"": ""expert""}, {""name"": ""pytorch"", ""endorsements"": 8, ""duration_months"": 43, ""proficiency"": ""intermediate""}, {""name"": ""embeddings"", ""endorsements"": 21, ""duration_months"": 23, ""proficiency"": ""beginner""}, {""name"": ""deep learning"", ""endorsements"": 7, ""duration_months"": 55, ""proficiency"": ""beginner""}, {""name"": ""machine learning"", ""endorsements"": 25, ""duration_months"": 23, ""proficiency"": ""expert""}, {""name"": ""transformers"", ""endorsements"": 8, ""duration_months"": 7, ""proficiency"": ""intermediate""}, {""name"": ""model deployment"", ""endorsements"": 18, ""duration_months"": 59, ""proficiency"": ""advanced""}, {""name"": ""gcp"", ""endorsements"": 6, ""duration_months"": 44, ""proficiency"": ""expert""}, {""name"": ""recommendation systems"", ""endorsements"": 12, ""duration_months"": 59, ""proficiency"": ""expert""}, {""name"": ""vector databases"", ""endorsements"": 4, ""duration_months"": 19, ""proficiency"": ""intermediate""}, {""name"": ""tensorflow"", ""endorsements"": 7, ""duration_months"": 50, ""proficiency"": ""advanced""}]","[{""title"": ""Senior Data Scientist"", ""company"": ""Indus Cloud"", ""start_date"": ""2023-01-01"", ""end_date"": """", ""duration_months"": 22, ""is_current"": true, ""description"": ""Worked on data infrastructure and ETL pipelines.""}, {""title"": ""NLP Engineer"", ""company"": ""Vertex Analytics"", ""start_date"": ""2021-01-01"", ""end_date"": ""2022-12-31"", ""duration_months"": 22, ""is_current"": false, ""description"": ""Led a team delivering NLP-based search features.""}, {""title"": ""ML Platform Engineer"", ""company"": ""Helix AI"", ""start_date"": ""2019-01-01"", ""end_date"": ""2020-12-31"", ""duration_months"": 23, ""is_current"": false, ""description"": ""Built and shipped production ML pipelines.""}, {""title"": ""Senior AI Engineer"", ""company"": ""Nimbus Labs"", ""start_date"": ""2017-01-01"", ""end_date"": ""2018-12-31"", ""duration_months"": 23, ""is_current"": false, ""description"": ""Led a team delivering NLP-based search features.""}]","[{""degree"": ""MBA"", ""field_of_study"": ""Artificial Intelligence"", ""institution"": ""VIT Vellore"", ""year"": 2021}]",Mumbai,7.5,"{""last_active_date"": ""2026-04-01"", ""recruiter_response_rate"": 0.42, ""avg_response_time_hours"": 52.6, ""interview_completion_rate"": 0.54, ""offer_acceptance_rate"": 0.38, ""verified_email"": true, ""verified_phone"": false, ""linkedin_connected"": false}",2107000.0,2579000.0
CAND_000002,Deep Learning Engineer | Skyline ML,"13.4 years of experience in AI systems. Skilled in vector databases, pytorch, tensorflow, data pipelines.",Deep Learning Engineer,"[{""name"": ""vector databases"", ""endorsements"": 0, ""duration_months"": 41, ""proficiency"": ""advanced""}, {""name"": ""pytorch"", ""endorsements"": 15, ""duration_months"": 4, ""proficiency"": ""beginner""}, {""name"": ""tensorflow"", ""endorsements"": 11, ""duration_months"": 59, ""proficiency"": ""advanced""}, {""name"": ""data pipelines"", ""endorsements"": 7, ""duration_months"": 6, ""proficiency"": ""intermediate""}, {""name"": ""machine learning"", ""endorsements"": 18, ""duration_months"": 8, ""proficiency"": ""beginner""}, {""name"": ""model deployment"", ""endorsements"": 23, ""duration_months"": 34, ""proficiency"": ""beginner""}, {""name"": ""mlops"", ""endorsements"": 24, ""duration_months"": 37, ""proficiency"": ""intermediate""}, {""name"": ""gcp"", ""endorsements"": 4, ""duration_months"": 45, ""proficiency"": ""expert""}, {""name"": ""transformers"", ""endorsements"": 17, ""duration_months"": 13, ""proficiency"": ""advanced""}, {""name"": ""fastapi"", ""endorsements"": 16, ""duration_months"": 58, ""proficiency"": ""expert""}, {""name"": ""ray"", ""endorsements"": 6, ""duration_months"": 37, ""proficiency"": ""intermediate""}]","[{""title"": ""Deep Learning Engineer"", ""company"": ""Crestline Data"", ""start_date"": ""2022-01-01"", ""end_date"": """", ""duration_months"": 32, ""is_current"": true, ""description"": """"}, {""title"": ""NLP Engineer"", ""company"": ""Helix AI"", ""start_date"": ""2019-01-01"", ""end_date"": ""2021-12-31"", ""duration_months"": 32, ""is_current"": false, ""description"": ""Contributed to internal tooling and APIs.""}, {""title"": ""Applied Scientist"", ""company"": ""Nimbus Labs"", ""start_date"": ""2016-01-01"", ""end_date"": ""2018-12-31"", ""duration_months"": 32, ""is_current"": false, ""description"": ""Led a team delivering NLP-based search features.""}, {""title"": ""AI Research Engineer"", ""company"": ""Nimbus Labs"", ""start_date"": ""2013-01-01"", ""end_date"": ""2015-12-31"", ""duration_months"": 32, ""is_current"": false, ""description"": ""Owned end-to-end deployment of recommendation models.""}, {""title"": ""Senior AI Engineer"", ""company"": ""Indus Cloud"", ""start_date"": ""2010-01-01"", ""end_date"": ""2012-12-31"", ""duration_months"": 32, ""is_current"": false, ""description"": ""Contributed to internal tooling and APIs.""}]","[{""degree"": ""M.Tech"", ""field_of_study"": ""Information Technology"", ""institution"": ""IIT Delhi"", ""year"": 2008}]",Jaipur,13.4,"{""last_active_date"": ""2026-06-15"", ""recruiter_response_rate"": 0.89, ""avg_response_time_hours"": 6.3, ""interview_completion_rate"": 0.97, ""offer_acceptance_rate"": 0.93, ""verified_email"": true, ""verified_phone"": true, ""linkedin_connected"": true}",1164000.0,1470000.0
CAND_000003,Software Engineer | Pinnacle Soft,"7.1 years of experience in AI systems. Skilled in natural language processing, pytorch, sql, model deployment.",Software Engineer,"[{""name"": ""natural language processing"", ""endorsements"": 23, ""duration_months"": 6, ""proficiency"": ""beginner""}, {""name"": ""pytorch"", ""endorsements"": 1, ""duration_months"": 28, ""proficiency"": ""advanced""}, {""name"": ""sql"", ""endorsements"": 25, ""duration_months"": 58, ""proficiency"": ""beginner""}, {""name"": ""model deployment"", ""endorsements"": 7, ""duration_months"": 15, ""proficiency"": ""intermediate""}, {""name"": ""machine learning"", ""endorsements"": 17, ""duration_months"": 31, ""proficiency"": ""intermediate""}, {""name"": ""mlops"", ""endorsements"": 13, ""duration_months"": 14, ""proficiency"": ""advanced""}, {""name"": ""spark"", ""endorsements"": 14, ""duration_months"": 18, ""proficiency"": ""beginner""}, {""name"": ""a/b testing"", ""endorsements"": 14, ""duration_months"": 54, ""proficiency"": ""beginner""}]","[{""title"": ""Software Engineer"", ""company"": ""Skyline ML"", ""start_date"": ""2023-01-01"", ""end_date"": """", ""duration_months"": 21, ""is_current"": true, ""description"": ""Contributed to internal tooling and APIs.""}, {""title"": ""Software Engineer"", ""company"": ""Nimbus Labs"", ""start_date"": ""2021-01-01"", ""end_date"": ""2022-12-31"", ""duration_months"": 21, ""is_current"": false, ""description"": ""Led a team delivering NLP-based search features.""}, {""title"": ""Backend Engineer"", ""company"": ""Crestline Data"", ""start_date"": ""2019-01-01"", ""end_date"": ""2020-12-31"", ""duration_months"": 21, ""is_current"": false, ""description"": ""Worked on data infrastructure and ETL pipelines.""}, {""title"": ""Full Stack Developer"", ""company"": ""Vertex Analytics"", ""start_date"": ""2017-01-01"", ""end_date"": ""2018-12-31"", ""duration_months"": 22, ""is_current"": false, ""description"": ""Worked on data infrastructure and ETL pipelines.""}]","[{""degree"": ""B.Tech"", ""field_of_study"": ""Artificial Intelligence"", ""institution"": ""BITS Pilani"", ""year"": 2008}]",Ahmedabad,7.1,"{""last_active_date"": ""2021-06-01"", ""recruiter_response_rate"": 0.19, ""avg_response_time_hours"": 257.0, ""interview_completion_rate"": 0.06, ""offer_acceptance_rate"": 0.14, ""verified_email"": false, ""verified_phone"": false, ""linkedin_connected"": false}",1063000.0,1500000.0
CAND_000004,Data Engineer | Indus Cloud,"0.6 years of experience in machine learning. Skilled in machine learning, mlops, recommendation systems, python.",Data Engineer,"[{""name"": ""machine learning"", ""endorsements"": 21, ""duration_months"": 58, ""proficiency"": ""intermediate""}, {""name"": ""mlops"", ""endorsements"": 12, ""duration_months"": 10, ""proficiency"": ""intermediate""}, {""name"": ""recommendation systems"", ""endorsements"": 18, ""duration_months"": 41, ""proficiency"": ""beginner""}, {""name"": ""python"", ""endorsements"": 19, ""duration_months"": 8, ""proficiency"": ""expert""}, {""name"": ""a/b testing"", ""endorsements"": 21, ""duration_months"": 40, ""proficiency"": ""advanced""}]","[{""title"": ""Data Engineer"", ""company"": ""Vertex Analytics"", ""start_date"": ""2023-01-01"", ""end_date"": """", ""duration_months"": 7, ""is_current"": true, ""description"": """"}]","[{""degree"": ""MBA"", ""field_of_study"": ""Electrical Engineering"", ""institution"": ""IIT Delhi"", ""year"": 2016}]",Noida,0.6,"{""last_active_date"": ""2026-06-15"", ""recruiter_response_rate"": 0.9, ""avg_response_time_hours"": 7.9, ""interview_completion_rate"": 0.79, ""offer_acceptance_rate"": 0.88, ""verified_email"": true, ""verified_phone"": true, ""linkedin_connected"": true}",925000.0,1296000.0
CAND_000005,Content Writer | Pinnacle Soft,"5.3 years of experience in AI systems. Skilled in customer service, event planning, copywriting, transformers.",Content Writer,"[{""name"": ""customer service"", ""endorsements"": 0, ""duration_months"": 45, ""proficiency"": ""advanced""}, {""name"": ""event planning"", ""endorsements"": 21, ""duration_months"": 9, ""proficiency"": ""intermediate""}, {""name"": ""copywriting"", ""endorsements"": 8, ""duration_months"": 10, ""proficiency"": ""beginner""}, {""name"": ""transformers"", ""endorsements"": 23, ""duration_months"": 38, ""proficiency"": ""intermediate""}, {""name"": ""negotiation"", ""endorsements"": 8, ""duration_months"": 21, ""proficiency"": ""intermediate""}, {""name"": ""deep learning"", ""endorsements"": 0, ""duration_months"": 2, ""proficiency"": ""expert""}, {""name"": ""model deployment"", ""endorsements"": 1, ""duration_months"": 2, ""proficiency"": ""expert""}]","[{""title"": ""Content Writer"", ""company"": ""Orbit Software"", ""start_date"": ""2023-01-01"", ""end_date"": """", ""duration_months"": 21, ""is_current"": true, ""description"": ""Led a team delivering NLP-based search features.""}, {""title"": ""Content Writer"", ""company"": ""Skyline ML"", ""start_date"": ""2021-01-01"", ""end_date"": ""2022-12-31"", ""duration_months"": 21, ""is_current"": false, ""description"": ""Owned end-to-end deployment of recommendation models.""}, {""title"": ""Graphic Designer"", ""company"": ""Helix AI"", ""start_date"": ""2019-01-01"", ""end_date"": ""2020-12-31"", ""duration_months"": 21, ""is_current"": false, ""description"": ""Owned end-to-end deployment of recommendation models.""}]","[{""degree"": ""B.Sc"", ""field_of_study"": ""Computer Science"", ""institution"": ""IIT Bombay"", ""year"": 2021}]","London, UK",5.3,"{""last_active_date"": ""2022-01-01"", ""recruiter_response_rate"": 0.0, ""avg_response_time_hours"": 254.2, ""interview_completion_rate"": 0.13, ""offer_acceptance_rate"": 0.05, ""verified_email"": false, ""verified_phone"": false, ""linkedin_connected"": false}",1738000.0,2280000.0
CAND_000006,Senior AI Engineer | Acme AI,"3.9 years of experience in AI systems. Skilled in retrieval systems, natural language processing, sql, deep learning.",Senior AI Engineer,"[{""name"": ""retrieval systems"", ""endorsements"": 23, ""duration_months"": 24, ""proficiency"": ""expert""}, {""name"": ""natural language processing"", ""endorsements"": 25, ""duration_months"": 45, ""proficiency"": ""intermediate""}, {""name"": ""sql"", ""endorsements"": 8, ""duration_months"": 13, ""proficiency"": ""beginner""}, {""name"": ""deep learning"", ""endorsements"": 12, ""duration_months"": 58, ""proficiency"": ""beginner""}, {""name"": ""model deployment"", ""endorsements"": 15, ""duration_months"": 17, ""proficiency"": ""intermediate""}, {""name"": ""machine learning"", ""endorsements"": 14, ""duration_months"": 25, ""proficiency"": ""advanced""}, {""name"": ""data pipelines"", ""endorsements"": 25, ""duration_months"": 58, ""proficiency"": ""intermediate""}, {""name"": ""python"", ""endorsements"": 7, ""duration_months"": 4, ""proficiency"": ""intermediate""}, {""name"": ""mlops"", ""endorsements"": 12, ""duration_months"": 24, ""proficiency"": ""advanced""}, {""name"": ""vector databases"", ""endorsements"": 2, ""duration_months"": 52, ""proficiency"": ""advanced""}, {""name"": ""transformers"", ""endorsements"": 11, ""duration_months"": 44, ""proficiency"": ""expert""}, {""name"": ""a/b testing"", ""endorsements"": 21, ""duration_months"": 56, ""proficiency"": ""advanced""}]","[{""title"": ""Senior AI Engineer"", ""company"": ""Nimbus Labs"", ""start_date"": ""2023-01-01"", ""end_date"": """", ""duration_months"": 23, ""is_current"": true, ""description"": ""Owned end-to-end deployment of recommendation models.""}, {""title"": ""Senior ML Engineer"", ""company"": ""Indus Cloud"", ""start_date"": ""2021-01-01"", ""end_date"": ""2022-12-31"", ""duration_months"": 23, ""is_current"": false, ""description"": ""Owned end-to-end deployment of recommendation models.""}]","[{""degree"": ""B.Tech"", ""field_of_study"": ""Computer Science"", ""institution"": ""Anna University"", ""year"": 2021}]",Bengaluru,3.9,"{""last_active_date"": ""2026-06-15"", ""recruiter_response_rate"": 0.94, ""avg_response_time_hours"": 11.0, ""interview_completion_rate"": 1.0, ""offer_acceptance_rate"": 0.56, ""verified_email"": true, ""verified_phone"": false, ""linkedin_connected"": true}",803000.0,1743000.0
CAND_000007,HR Manager | Northstar Robotics,"15.0 years of experience in data science. Skilled in tensorflow, excel, event planning, customer service.",HR Manager,"[{""name"": ""tensorflow"", ""endorsements"": 23, ""duration_months"": 60, ""proficiency"": ""advanced""}, {""name"": ""excel"", ""endorsements"": 16, ""duration_months"": 22, ""proficiency"": ""expert""}, {""name"": ""event planning"", ""endorsements"": 10, ""duration_months"": 28, ""proficiency"": ""advanced""}, {""name"": ""customer service"", ""endorsements"": 17, ""duration_months"": 11, ""proficiency"": ""intermediate""}]","[{""title"": ""HR Manager"", ""company"": ""Skyline ML"", ""start_date"": ""2021-01-01"", ""end_date"": """", ""duration_months"": 36, ""is_current"": true, ""description"": ""Worked on data infrastructure and ETL pipelines.""}, {""title"": ""Content Writer"", ""company"": ""Pinnacle Soft"", ""start_date"": ""2017-01-01"", ""end_date"": ""2020-12-31"", ""duration_months"": 36, ""is_current"": false, ""description"": ""Led a team delivering NLP-based search features.""}, {""title"": ""Graphic Designer"", ""company"": ""Indus Cloud"", ""start_date"": ""2013-01-01"", ""end_date"": ""2016-12-31"", ""duration_months"": 36, ""is_current"": false, ""description"": ""Owned end-to-end deployment of recommendation models.""}, {""title"": ""HR Manager"", ""company"": ""Northstar Robotics"", ""start_date"": ""2009-01-01"", ""end_date"": ""2012-12-31"", ""duration_months"": 36, ""is_current"": false, ""description"": ""Built and shipped production ML pipelines.""}, {""title"": ""Sales Executive"", ""company"": ""Bluepeak Tech"", ""start_date"": ""2005-01-01"", ""end_date"": ""2008-12-31"", ""duration_months"": 36, ""is_current"": false, ""description"": ""Led a team delivering NLP-based search features.""}]","[{""degree"": ""M.S."", ""field_of_study"": ""Statistics"", ""institution"": ""Anna University"", ""year"": 2018}]",Chennai,15.0,"{""last_active_date"": ""2026-04-01"", ""recruiter_response_rate"": 0.43, ""avg_response_time_hours"": 34.3, ""interview_completion_rate"": 0.54, ""offer_acceptance_rate"": 0.57, ""verified_email"": false, ""verified_phone"": true, ""linkedin_connected"": true}",959000.0,1921000.0
CAND_000008,Backend Engineer | Northstar Robotics,"7.8 years of experience in AI systems. Skilled in data pipelines, azure, tensorflow, airflow.",Backend Engineer,"[{""name"": ""data pipelines"", ""endorsements"": 12, ""duration_months"": 18, ""proficiency"": ""intermediate""}, {""name"": ""azure"", ""endorsements"": 20, ""duration_months"": 47, ""proficiency"": ""beginner""}, {""name"": ""tensorflow"", ""endorsements"": 24, ""duration_months"": 58, ""proficiency"": ""beginner""}, {""name"": ""airflow"", ""endorsements"": 24, ""duration_months"": 30, ""proficiency"": ""intermediate""}]","[{""title"": ""Backend Engineer"", ""company"": ""Pinnacle Soft"", ""start_date"": ""2023-01-01"", ""end_date"": """", ""duration_months"": 23, ""is_current"": true, ""description"": ""Contributed to internal tooling and APIs.""}, {""title"": ""Full Stack Developer"", ""company"": ""Acme AI"", ""start_date"": ""2021-01-01"", ""end_date"": ""2022-12-31"", ""duration_months"": 23, ""is_current"": false, ""description"": ""Contributed to internal tooling and APIs.""}, {""title"": ""Backend Engineer"", ""company"": ""Nimbus Labs"", ""start_date"": ""2019-01-01"", ""end_date"": ""2020-12-31"", ""duration_months"": 23, ""is_current"": false, ""description"": ""Worked on data infrastructure and ETL pipelines.""}, {""title"": ""Backend Engineer"", ""company"": ""Helix AI"", ""start_date"": ""2016-01-01"", ""end_date"": ""2018-12-31"", ""duration_months"": 24, ""is_current"": false, ""description"": """"}]","[{""degree"": ""PhD"", ""field_of_study"": ""Information Technology"", ""institution"": ""Anna University"", ""year"": 2018}]",Noida,7.8,"{""last_active_date"": ""2021-06-01"", ""recruiter_response_rate"": 0.12, ""avg_response_time_hours"": 243.9, ""interview_completion_rate"": 0.1, ""offer_acceptance_rate"": 0.17, ""verified_email"": false, ""verified_phone"": false, ""linkedin_connected"": false}",2325000.0,3120000.0
CAND_000009,Senior ML Engineer | Skyline ML,"4.9 years of experience in machine learning. Skilled in azure, sentence transformers, natural language processing, pytorch.",Senior ML Engineer,"[{""name"": ""azure"", ""endorsements"": 22, ""duration_months"": 16, ""proficiency"": ""beginner""}, {""name"": ""sentence transformers"", ""endorsements"": 13, ""duration_months"": 29, ""proficiency"": ""advanced""}, {""name"": ""natural language processing"", ""endorsements"": 17, ""duration_months"": 32, ""proficiency"": ""expert""}, {""name"": ""pytorch"", ""endorsements"": 1, ""duration_months"": 16, ""proficiency"": ""expert""}, {""name"": ""tensorflow"", ""endorsements"": 12, ""duration_months"": 60, ""proficiency"": ""beginner""}, {""name"": ""large language models"", ""endorsements"": 24, ""duration_months"": 39, ""proficiency"": ""expert""}, {""name"": ""data pipelines"", ""endorsements"": 15, ""duration_months"": 3, ""proficiency"": ""advanced""}, {""name"": ""python"", ""endorsements"": 9, ""duration_months"": 51, ""proficiency"": ""expert""}, {""name"": ""deep learning"", ""endorsements"": 13, ""duration_months"": 37, ""proficiency"": ""intermediate""}, {""name"": ""machine learning"", ""endorsements"": 15, ""duration_months"": 17, ""proficiency"": ""advanced""}, {""name"": ""model deployment"", ""endorsements"": 13, ""duration_months"": 34, ""proficiency"": ""beginner""}, {""name"": ""mlops"", ""endorsements"": 12, ""duration_months"": 24, ""proficiency"": ""expert""}, {""name"": ""recommendation systems"", ""endorsements"": 23, ""duration_months"": 13, ""proficiency"": ""expert""}, {""name"": ""gcp"", ""endorsements"": 4, ""duration_months"": 42, ""proficiency"": ""beginner""}, {""name"": ""transformers"", ""endorsements"": 12, ""duration_months"": 40, ""proficiency"": ""beginner""}, {""name"": ""ci/cd"", ""endorsements"": 2, ""duration_months"": 44, ""proficiency"": ""expert""}, {""name"": ""a/b testing"", ""endorsements"": 4, ""duration_months"": 58, ""proficiency"": ""expert""}]","[{""title"": ""Senior ML Engineer"", ""company"": ""Acme AI"", ""start_date"": ""2023-01-01"", ""end_date"": """", ""duration_months"": 19, ""is_current"": true, ""description"": ""Owned end-to-end deployment of recommendation models.""}, {""title"": ""Senior Data Scientist"", ""company"": ""Orbit Software"", ""start_date"": ""2021-01-01"", ""end_date"": ""2022-12-31"", ""duration_months"": 19, ""is_current"": false, ""description"": ""Led a team delivering NLP-based search features.""}, {""title"": ""Applied Scientist"", ""company"": ""Orbit Software"", ""start_date"": ""2019-01-01"", ""end_date"": ""2020-12-31"", ""duration_months"": 20, ""is_current"": false, ""description"": ""Owned end-to-end deployment of recommendation models.""}]","[{""degree"": ""B.Sc"", ""field_of_study"": ""Mathematics"", ""institution"": ""NIT Trichy"", ""year"": 2021}]",Delhi NCR,4.9,"{""last_active_date"": ""2026-06-15"", ""recruiter_response_rate"": 0.72, ""avg_response_time_hours"": 1.4, ""interview_completion_rate"": 0.86, ""offer_acceptance_rate"": 1.0, ""verified_email"": true, ""verified_phone"": true, ""linkedin_connected"": true}",2082000.0,3042000.0
